,Data,Intervalo,Vazao
434, 10-4-2023,12:00:00 a 18:00:00,459931326.0
435, 10-4-2023,18:00:00 a 23:59:59,919180434.0
436, 11-4-2023,00:00:00 a 06:00:00,459914454.8333333
437, 11-4-2023,06:00:00 a 12:00:00,905190645.0
438, 11-4-2023,12:00:00 a 18:00:00,919566102.0
439, 11-4-2023,18:00:00 a 23:59:59,917405655.0
440, 12-4-2023,00:00:00 a 06:00:00,610223805.6666666
441, 12-4-2023,06:00:00 a 12:00:00,457027066.5
442, 12-4-2023,12:00:00 a 18:00:00,901093244.0
443, 12-4-2023,18:00:00 a 23:59:59,899323122.0
444, 13-4-2023,00:00:00 a 06:00:00,452970336.3333333
445, 13-4-2023,06:00:00 a 12:00:00,300069393.6666667
446, 13-4-2023,12:00:00 a 18:00:00,910269872.0
447, 13-4-2023,18:00:00 a 23:59:59,917147178.0
448, 14-4-2023,00:00:00 a 06:00:00,454456694.8333333
449, 14-4-2023,06:00:00 a 12:00:00,304569507.6666667
450, 14-4-2023,12:00:00 a 18:00:00,304569507.6666667
451, 14-4-2023,18:00:00 a 23:59:59,920547909.5
452, 15-4-2023,00:00:00 a 06:00:00,306282513.9166667
453, 15-4-2023,06:00:00 a 12:00:00,153424650.75
454, 15-4-2023,12:00:00 a 18:00:00,922537072.0
